Time,Average Gas Temperature,Average Kinetic Energy Density,Average Magnetic Energy Density
0.000000e+00,4.329805e+01,2.323611e-14,8.365000e-15
1.485263e+07,4.329784e+01,2.324853e-14,8.351031e-15
2.980500e+07,4.329357e+01,2.326259e-14,8.315291e-15
4.457468e+07,4.327627e+01,2.321478e-14,8.276087e-15
5.920091e+07,4.323503e+01,2.301887e-14,8.259261e-15
7.438353e+07,4.315803e+01,2.255745e-14,8.304129e-15
8.951108e+07,4.305025e+01,2.178224e-14,8.472630e-15
1.046526e+08,4.292869e+01,2.074742e-14,8.831042e-15
1.192128e+08,4.281277e+01,1.959432e-14,9.362314e-15
1.345777e+08,4.270067e+01,1.828388e-14,1.002989e-14
1.490564e+08,4.261817e+01,1.705794e-14,1.059946e-14
1.644578e+08,4.257524e+01,1.587758e-14,1.106033e-14
1.790396e+08,4.259720e+01,1.497732e-14,1.140444e-14
1.942002e+08,4.269574e+01,1.428861e-14,1.170578e-14
2.093820e+08,4.287463e+01,1.380751e-14,1.194082e-14
2.239980e+08,4.317891e+01,1.347340e-14,1.206583e-14
2.393474e+08,4.360156e+01,1.321304e-14,1.208850e-14
2.541542e+08,4.406128e+01,1.303037e-14,1.202704e-14
2.690572e+08,4.454828e+01,1.294417e-14,1.190513e-14
2.840620e+08,4.504414e+01,1.294757e-14,1.174678e-14
2.991056e+08,4.553404e+01,1.300574e-14,1.158004e-14
3.135763e+08,4.598852e+01,1.307459e-14,1.143885e-14
3.289025e+08,4.644323e+01,1.310525e-14,1.133732e-14
3.437988e+08,4.685287e+01,1.298025e-14,1.130687e-14
3.587748e+08,4.725460e+01,1.277681e-14,1.135862e-14
3.736139e+08,4.764672e+01,1.254722e-14,1.147492e-14
3.886179e+08,4.802571e+01,1.223939e-14,1.166239e-14
4.037559e+08,4.836959e+01,1.177456e-14,1.187699e-14
4.182358e+08,4.868103e+01,1.121383e-14,1.208802e-14
4.333583e+08,4.900621e+01,1.065828e-14,1.228659e-14
4.483189e+08,4.931742e+01,1.017286e-14,1.244239e-14
4.637225e+08,4.963275e+01,9.746852e-15,1.258224e-14
4.782571e+08,4.992857e+01,9.399799e-15,1.271924e-14
4.931482e+08,5.022610e+01,9.065648e-15,1.288374e-14
5.083282e+08,5.052307e+01,8.751951e-15,1.308594e-14
5.235625e+08,5.081145e+01,8.472806e-15,1.329339e-14
5.380021e+08,5.106658e+01,8.210956e-15,1.342161e-14
5.534337e+08,5.131757e+01,7.933218e-15,1.350293e-14
5.680779e+08,5.154280e+01,7.679582e-15,1.355399e-14
5.829031e+08,5.176842e+01,7.465984e-15,1.358931e-14
5.980320e+08,5.199233e+01,7.295020e-15,1.361884e-14
6.132768e+08,5.221290e+01,7.142065e-15,1.363953e-14
6.278245e+08,5.242920e+01,7.088241e-15,1.360621e-14
6.427808e+08,5.265122e+01,7.142691e-15,1.347651e-14
6.579585e+08,5.285710e+01,7.239731e-15,1.326811e-14
6.728615e+08,5.303390e+01,7.364826e-15,1.300980e-14
6.880955e+08,5.319328e+01,7.469795e-15,1.274862e-14
7.030955e+08,5.334741e+01,7.583597e-15,1.248018e-14
7.177943e+08,5.349805e+01,7.719406e-15,1.219031e-14
7.326739e+08,5.364308e+01,7.842055e-15,1.189474e-14
7.476869e+08,5.377993e+01,7.904203e-15,1.161224e-14
7.626225e+08,5.392294e+01,7.940380e-15,1.136328e-14
7.776147e+08,5.407669e+01,7.985589e-15,1.114126e-14
7.927656e+08,5.423076e+01,8.038790e-15,1.091144e-14
8.074115e+08,5.437499e+01,8.064503e-15,1.069948e-14
8.225418e+08,5.451746e+01,8.064559e-15,1.051097e-14
8.373374e+08,5.465260e+01,8.103655e-15,1.034459e-14
8.522842e+08,5.479211e+01,8.179468e-15,1.019357e-14
8.673548e+08,5.493419e+01,8.256370e-15,1.007416e-14
8.825692e+08,5.509586e+01,8.315059e-15,1.001807e-14
8.976000e+08,5.526883e+01,8.344249e-15,1.000056e-14
